query_sn,users_skills,job_suitability_rank,job_link_id,job_title,company,job_location,job_level,job_type,job_skills,similarity_score
1,"Python, R, SQL, Machine learning, Data analysis, Statistical modeling, SAS, Matlab, Data Science, Statistics, Machine Learning, Operations Research, Communication, Problem Solving, Critical Thinking, Analytical Skills, Research, Modeling, Project Management",1,3786759476,"Data Scientist II, Middle Mile Transportation",Amazon,"Bellevue, WA",Mid senior,Onsite,"Data Science, Statistics, Machine Learning, Operations Research, Supply Chain, Python, SQL, R, SAS, Matlab, Project Management, Data Visualization, Business Intelligence, Decision Making, Communication, Problem Solving, Critical Thinking, Analytical Skills, Research, Modeling",0.7863929007243132
1,"Python, R, SQL, Machine learning, Data analysis, Statistical modeling, SAS, Matlab, Data Science, Statistics, Machine Learning, Operations Research, Communication, Problem Solving, Critical Thinking, Analytical Skills, Research, Modeling, Project Management",2,3744956360,"Data Scientist II , Infra DCPD - PACE",Amazon Web Services (AWS),"Seattle, WA",Mid senior,Onsite,"Machine learning, Data analytics, Python, SQL, R, SAS, Matlab, Data querying languages, Scripting languages, Statistical software, Statistical modeling, Data analysis",0.5610702729067809
1,"Python, R, SQL, Machine learning, Data analysis, Statistical modeling, SAS, Matlab, Data Science, Statistics, Machine Learning, Operations Research, Communication, Problem Solving, Critical Thinking, Analytical Skills, Research, Modeling, Project Management",3,3751686236,"Data Scientist II, DSP Insurance",Amazon,"Bellevue, WA",Mid senior,Onsite,"Data Scientist, Data Extraction, Data Analysis, Statistical Modeling, Communication, Data Querying Languages, SQL, Hadoop/Hive, Machine Learning, Statistical Modeling, Data Analysis Tools, Data Science Techniques, Python, Perl, Scripting Language, Actuarial, Mathematics, Statistics, Economics, Finance, Engineering, Computer Science, Pricing, Performance, Business Analytics",0.3719514509018404
1,"Python, R, SQL, Machine learning, Data analysis, Statistical modeling, SAS, Matlab, Data Science, Statistics, Machine Learning, Operations Research, Communication, Problem Solving, Critical Thinking, Analytical Skills, Research, Modeling, Project Management",4,3751683559,"Applied Scientist II, Customer Behavior Analytics",Amazon,"Seattle, WA",Mid senior,Onsite,"Data mining, Causal inference, Machine learning, Statistical modeling, Unix/Linux, Java, C++, Python, Algorithms and data structures, Parsing, Numerical optimization, Parallel and distributed computing, Highperformance computing",0.2848691395812833
1,"Python, R, SQL, Machine learning, Data analysis, Statistical modeling, SAS, Matlab, Data Science, Statistics, Machine Learning, Operations Research, Communication, Problem Solving, Critical Thinking, Analytical Skills, Research, Modeling, Project Management",5,3785860308,Data Scientist II,The Trade Desk,"Bellevue, WA",Mid senior,Onsite,"Scala, Spark, Python, R, SQL, Machine learning, Time series, Simulation, Data analysis, Pattern mining, Visualization, Big data, Cloud computing, Hadoop, AWS, Privacysafe data storage, Measurement, Modeling, Bachelor's degree in Computer Science, Master's degree in Computer Science, 5 years of experience in datadriven role, 3 years of experience with: machine learning time series simulation programming in Scala Python R and SQL and data analysis pattern mining and visualization, 1 year of experience with: big data and cloud computing technologies including Spark Hadoop and AWS and privacysafe data storage measurement and modeling, Cryptographic theories, Economic theory of markets, Statistical properties of cryptographic data structures, Game theory, Probability, Statistics",0.28369324335765794
2,"big data, data science, machine learning, data analysis, programming, python, data wrangling, database management, database,  predictive modeling,  problem solving, artificial intelligence, deep learning",1,3805527792,Senior Data Scientist AI/ML- Insurance domain Required,Guardian Life,"New York, NY",Mid senior,Onsite,"Data Science, Machine Learning, Artificial Intelligence, Python, Statistics, Big Data, Data Analysis, Data Modeling, Data Wrangling, Data Visualization, Data Quality Assurance, ETL, Predictive Modeling, Decision Tree, Bagging/Boosting, Artificial Neural Networks, Fuzzy Matching, Regular Expression, Distributed Computing, Leadership, Mentoring, Communication, Analytical Skills",0.5841804026832165
2,"big data, data science, machine learning, data analysis, programming, python, data wrangling, database management, database,  predictive modeling,  problem solving, artificial intelligence, deep learning",2,3744900137,"Staff Machine Learning Engineer, Series A",Recruiting from Scratch,"Brooklyn, NY",Mid senior,Onsite,"Machine Learning, Voice Biomarker Software, Programming, Python, Cloud Services, Deep Learning, Data Analysis, Experimentation, Model Optimization, R&D, Team Leadership, Communication, Empathy, Mentoring, Agile Planning, Speech Processing, Audio Classification, FDA Software, Medical Device Development",0.3123739216788848
2,"big data, data science, machine learning, data analysis, programming, python, data wrangling, database management, database,  predictive modeling,  problem solving, artificial intelligence, deep learning",3,3790667477,"Manager, Product Management - Payments Intelligence",Capital One,"New York, NY",Mid senior,Onsite,"Product Management, Business Analysis, Data Science, Software Engineering, Agile Product Management, MBA, Masters Degree, UX/UI Design, CustomerCentric, Communication, Data Analytics, ProblemSolving, Leadership, Project Management, Scrum, Jira, SQL, Python, JavaScript, AWS, Azure, Google Cloud, Machine Learning, Artificial Intelligence, Big Data, Cloud Computing",0.26420179921217785
2,"big data, data science, machine learning, data analysis, programming, python, data wrangling, database management, database,  predictive modeling,  problem solving, artificial intelligence, deep learning",4,3787733713,Overhires - Theatre,The Riverside Church,"New York, NY",Mid senior,Onsite,"ETC Ion, Element Lighting Console, Qlab, LS9, Signal flow, A/V troubleshooting, Clearcom Systems, Theatrical protocol, Basic recording, Orchestral micing techniques, ETC ION, Programming, Theatrical Lighting, Theater experience",0.2634875792772416
2,"big data, data science, machine learning, data analysis, programming, python, data wrangling, database management, database,  predictive modeling,  problem solving, artificial intelligence, deep learning",5,3805643891,Lead Scientist - AI & Computer Vision - GE Aerospace Research,Energy Jobline,"Niskayuna, NY",Mid senior,Onsite,"Artificial Intelligence, Computer Vision, Applied Research, Fundamental Research, Deep Learning, Machine Learning, Language Models, Computer Graphics, Image Processing, Patent Filing, Invention Disclosure, Computer Science, Electrical Engineering, Mathematics, Physics, Python, Git, GitHub, Grant Writing, Government Sponsorship, Niskayuna",0.22976572618605828
3,"public speaking, presentation skills, media relations, crisis management, branding, public relations, reputation management, audience engagement, stakeholder engagement, press release writing, stakeholder engagement, media monitoring, marketing",1,3797597901,Communications Manager,Michael Page,"Leeds, England, United Kingdom",Mid senior,Onsite,"Communications strategy, Stakeholder engagement, Public relations, Marketing, Internal communications, External communications, Media handling, Reputation management, Project management, Creative campaigns, Stakeholder management, Public speaking, Writing skills, Verbal communication, Degree in communications marketing business or related field, Proven background in PR, Experience in managing communications in a complex environment",0.5234313008594181
3,"public speaking, presentation skills, media relations, crisis management, branding, public relations, reputation management, audience engagement, stakeholder engagement, press release writing, stakeholder engagement, media monitoring, marketing",2,3756612047,Communications Manager,Michael Page,"Macclesfield, England, United Kingdom",Mid senior,Onsite,"Communications, Strategic planning, Public relations, Journalism, Press release writing, Media relations, Stakeholder engagement, Reputation management, Media monitoring, Copywriting, Editing, Proofreading, Gorkana, Meltwater",0.5039034469945854
3,"public speaking, presentation skills, media relations, crisis management, branding, public relations, reputation management, audience engagement, stakeholder engagement, press release writing, stakeholder engagement, media monitoring, marketing",3,3802121038,Defence Fire & Rescue HQ - Station Manager Operational Development,UK Ministry of Defence,"Andover, England, United Kingdom",Mid senior,Onsite,"Methodology Development, Policy and Doctrine Development, Document Review and Update, Safe Systems of Work Maintenance, Technical Advice Provision, Stakeholder Engagement, Regulator Compliance, Continuous Improvement Promotion, Operational Response Support, Risk Identification and Escalation, Service Delivery Support",0.5032355851692007
3,"public speaking, presentation skills, media relations, crisis management, branding, public relations, reputation management, audience engagement, stakeholder engagement, press release writing, stakeholder engagement, media monitoring, marketing",4,3800400339,Communications Manager,Southway Housing Trust,"Manchester, England, United Kingdom",Mid senior,Onsite,"Communications, Project Management, Team Management, Public Speaking, Problem Solving, Event Management, Public Relations, Crisis Management, Communication Strategy, Brand Management, Reputation Management, Digital Marketing, Social Media, Stakeholder Engagement, Public Affairs, Writing, Editing, Media Relations",0.49202304435059135
3,"public speaking, presentation skills, media relations, crisis management, branding, public relations, reputation management, audience engagement, stakeholder engagement, press release writing, stakeholder engagement, media monitoring, marketing",5,3775368024,Organisational Learning Manager,Urenco Global,"Capenhurst, England, United Kingdom",Mid senior,Onsite,"Organizational Learning, Human and Organisational Performance (HOP), Project Management, Regulatory Compliance (Nuclear Environmental Security COMAH), Incident and Investigation Management, Data Trending and Analysis, Performance Indicators and Reporting, Stakeholder Engagement, University Degree (Science/Technical/Engineering), Professional Qualification (e.g. CIPD), 5+ Years' Experience in HighHazard Industry (Chemical/Nuclear), Leadership and Influence in FastPaced Project Environments",0.4628581918669927
4,"leadership, teamwork, problem solving, communication, adaptability, time management, creativity, analytical thinking, decision making, conflict resolution, marketing, sales, presentation skills, communication skills",1,3746837636,Practice Development Consultant - Georgia/Alabama/Mississippi,"Cynosure, LLC.","Atlanta, GA",Mid senior,Onsite,"Microsoft Office Suite (Word Excel PowerPoint), Data Analysis, CRM Experience (Salesforce.com), Presentation Skills, Communication Skills, Time Management, Leadership, Problem Solving, Teamwork, Decision Making, Creativity, Attention to Detail, MultiTasking, Adaptability, Information Assimilation, Work Ethic, Collaboration, Marketing, Sales",0.5884714157819595
4,"leadership, teamwork, problem solving, communication, adaptability, time management, creativity, analytical thinking, decision making, conflict resolution, marketing, sales, presentation skills, communication skills",2,3798377632,Assistant Salon Manager - Glenwood Place,Jobs for Humanity,"Atlanta, GA",Mid senior,Onsite,"Communication, Leadership, Teamwork, Problem solving, Customer service, Time management, Decision making, Conflict resolution, Cosmetology, Barber license",0.35161619300800995
4,"leadership, teamwork, problem solving, communication, adaptability, time management, creativity, analytical thinking, decision making, conflict resolution, marketing, sales, presentation skills, communication skills",3,3794707346,Assistant Branch Operation Manager,Advance Auto Parts,"Atlanta, GA",Mid senior,Onsite,"Supervision, Warehouse Operations, Inventory Management, Customer Service, Safety Protocols, Data Analysis, Communication, Leadership, Multitasking, Problem Solving, Decision Making, Training, Conflict Resolution, Documentation, Customer Relations, Physical Fitness, Attention to Detail, Adaptability, Computer Literacy, Team Management, Conflict Resolution, Problem Solving, Time Management, Communication, Leadership",0.331833944055651
4,"leadership, teamwork, problem solving, communication, adaptability, time management, creativity, analytical thinking, decision making, conflict resolution, marketing, sales, presentation skills, communication skills",4,3630511227,Multi-Unit Restaurant Manager- Hartsfield-Jackson International Airport,Paradies Lagardre,"Atlanta, GA",Mid senior,Onsite,"Leadership, Communication, ProblemSolving, DecisionMaking, Teamwork, Time Management, Strategic Planning, Budget Management, Guest Service, Food Safety, Sanitation, Health and Safety, Conflict Resolution, Team Building, Performance Management, Training and Development, Recruiting, Hiring, Scheduling, Supervision, Financial Analysis, Inventory Management, Forecasting, Purchasing, Customer Service, Sales, Marketing, Operations, Administration, Human Resources, ProblemSolving, Critical Thinking, Analytical Skills, Research, Data Analysis, Reporting, Presentation Skills, Negotiation, Conflict Resolution, Adaptability, Flexibility, Creativity, Innovation, Motivation, SelfManagement, Time Management, Attention to Detail, Accuracy, Microsoft Office Suite, ServSafe Food Managers Certification, Bachelors Degree in Hotel/Restaurant Management, Ability to lift 25 lbs., Ability to stand for long periods of time, Ability to work in an environment with varying temperatures",0.3245764234225805
4,"leadership, teamwork, problem solving, communication, adaptability, time management, creativity, analytical thinking, decision making, conflict resolution, marketing, sales, presentation skills, communication skills",5,3734464455,"On-Demand: Guest Advocate (Cashier), General Merchandise, Fulfillment, Food and Beverage, Style (T1761)",Target,"Roswell, GA",Mid senior,Onsite,"Guest Advocacy, Customer Service, Communication, Problem Solving, Decision Making, Adaptability, Sales, Marketing, Product Knowledge, Cash Handling, Merchandise Handling, Flexible Schedule, ADA Compliance",0.31948050787795895
5,"coding, programming, technical skills, troubleshooting, software development, web development, linux, python, java, javascript, c++, html, php, sql, swift, ruby",1,3779231367,Coders - AI Training [Remote],Braintrust,Canada,Mid senior,Remote,"Data Science, Test case development, Troubleshooting, Programming, Coding, Java, JavaScript, TypeScript, Python, C++, HTML, SQL, Swift, Ruby, Rust, Go, NET, Matlab, PHP, DART, R, Apex, Shell",0.577494206124533
5,"coding, programming, technical skills, troubleshooting, software development, web development, linux, python, java, javascript, c++, html, php, sql, swift, ruby",2,3780702409,Coders - AI Training [Remote],Braintrust,"Manitoba, Canada",Mid senior,Remote,"Python, Java, Javascript, Typescript, SQL, C, C++, C#, HTML, Swift, Ruby, Rust, Go, .Net, Matlab, PHP, R, Apex, Shell, Data Science, English fluency, Code description, Clear communication, Bachelor's degree, Master's degree, Computer Science, AI experience, AIgenerated code evaluation, Functional code writing, Efficient code writing, Test case writing, Code problem explanation, Solution approach evaluation",0.4510252008410022
5,"coding, programming, technical skills, troubleshooting, software development, web development, linux, python, java, javascript, c++, html, php, sql, swift, ruby",3,3780397745,Coders - AI Training [Remote],Braintrust,"Ontario, Canada",Mid senior,Remote,"Python, Java, JavaScript, TypeScript, SQL, C/C++/C#, HTML, Swift, Ruby, Rust, Go, .NET, Matlab, PHP, DART, R, Apex, Shell, Data Science, English Fluency, Writing, Rating, Coding, ProblemSolving, Efficiency Optimization, Unit Testing, Code Explanation, AI Language Models",0.45044045939542127
5,"coding, programming, technical skills, troubleshooting, software development, web development, linux, python, java, javascript, c++, html, php, sql, swift, ruby",4,3780704168,Coders - AI Training [Remote],Braintrust,"British Columbia, Canada",Mid senior,Remote,"Python, Java, JavaScript, TypeScript, SQL, C/C++/C#, HTML, Swift, Ruby, Rust, Go, NET, Matlab, PHP, HTML, DART, R, Apex, Shell, Data Science, Artificial Intelligence, Machine Learning, Natural Language Processing, Large Language Models, Coding, Code Evaluation, Code Optimization, Test Case Writing, Problem Solving, Technical Writing, English Fluency, Communication Skills, Bachelor's Degree, Master's Degree, Computer Science",0.4457310649912505
5,"coding, programming, technical skills, troubleshooting, software development, web development, linux, python, java, javascript, c++, html, php, sql, swift, ruby",5,3780704244,Coders - AI Training [Remote],Braintrust,"Alberta, Canada",Mid senior,Remote,"Python, Java, JavaScript, TypeScript, SQL, C/C++/C#, Swift, Ruby, Rust, Go, NET, Matlab, PHP, HTML, DART, R, Apache, Shell, Data Science, AI, Large language models, Code optimization, Testing, Code evaluation, Problemsolving, English fluency, Communication skills, Bachelor's or Master's degree in Computer Science",0.3975870947003749
